# step x_cm g psi1_integral psi2_integral
12 0.24 44 0 0
12 0.24 45 0 0
12 0.24 46 0 0
12 0.24 47 0 0
12 0.24 48 0 0
12 0.24 49 0 0
13 0.26 0 1.98153e-22 1.28449e-22
13 0.26 1 -1.63697e-21 -2.14734e-21
13 0.26 2 1.05639e-20 1.95242e-20
13 0.26 3 -8.62148e-20 -1.77285e-19
13 0.26 4 8.26386e-19 1.75961e-18
13 0.26 5 -8.61458e-18 -1.85572e-17
13 0.26 6 9.35168e-17 2.01999e-16
13 0.26 7 -1.0311e-15 -2.22205e-15
13 0.26 8 1.13532e-14 2.43041e-14
13 0.26 9 -1.23143e-13 -2.60632e-13
13 0.26 10 1.29944e-12 2.70373e-12
13 0.26 11 -1.31778e-11 -2.67603e-11
13 0.26 12 1.26857e-10 2.49001e-10
13 0.26 13 -1.14512e-09 -2.14373e-09
13 0.26 14 9.58648e-09 1.67953e-08
13 0.26 15 -7.39317e-08 -1.18065e-07
13 0.26 16 5.2796e-07 7.44505e-07
13 0.26 17 -3.60061e-06 -4.41088e-06
13 0.26 18 4.66561e-05 4.97869e-05
13 0.26 19 5.37399e-05 -4.56005e-05
13 0.26 20 2.47248e-15 -2.03362e-15
13 0.26 21 2.52146e-37 -2.0137e-37
13 0.26 22 5.7019e-71 -4.42836e-71
13 0.26 23 2.86005e-116 -2.16315e-116
13 0.26 24 3.18292e-173 -2.34739e-173
13 0.26 25 7.86087e-242 -5.65957e-242
13 0.26 26 4.29837e-322 -3.0138e-322
13 0.26 27 0 0
13 0.26 28 0 0
13 0.26 29 0 0
13 0.26 30 0 0
13 0.26 31 0 0
13 0.26 32 0 0
13 0.26 33 0 0
13 0.26 34 0 0
13 0.26 35 0 0
13 0.26 36 0 0
13 0.26 37 0 0
13 0.26 38 0 0
13 0.26 39 0 0
13 0.26 40 0 0
13 0.26 41 0 0
13 0.26 42 0 0
13 0.26 43 0 0
13 0.26 44 0 0
13 0.26 45 0 0
13 0.26 46 0 0
13 0.26 47 0 0
13 0.26 48 0 0
13 0.26 49 0 0
14 0.28 0 2.95211e-22 1.3115e-22
14 0.28 1 -4.60598e-21 -5.1081e-21
14 0.28 2 3.3401e-20 5.29312e-20
14 0.28 3 -2.63074e-19 -4.77866e-19
14 0.28 4 2.30682e-18 4.46077e-18
14 0.28 5 -2.1732e-17 -4.33543e-17
14 0.28 6 2.13544e-16 4.32472e-16
14 0.28 7 -2.14134e-15 -4.35795e-15
14 0.28 8 2.15411e-14 4.37084e-14
